Medicine Name,Active Ingredient,Alternatives,Pharmacology
Panadol,paracetamol(acetaminophen),GRIPPO 200mg supp.; PARACETAMOL 500mg 20tab. B.P.80; PARALEX 125 rectal pediatric supp.; ACETAMINOPHEN 125mg paed. supp.U.S.P.XXIII; PYREMOL 300mg supp.; PYRAL 250mg 5 children supp.; FEBRIMOL 500mg 20 tab.; CETAMOL 120mg/5ml pediatric 120ml syrup.; FEBRIMOL oral drops 20 ML; PARACETAMOL-MUP 500mg B.P. 20 tab.; PARAGESIC 500mg 5 supp.; PYRAL 100mg/ml oral drops; UNICETAMOL 100MG/ML oral drops 15 ML; PARACETAMOL-AMRIYA 120mg/5ml 120ml susp.; TEMPORAL 250mg/5ml 60ml susp.; ABIMOL 300mg 5 rectal supp.; PYRAL 2.4g/100ml 125ml syrup; ABIMOL 150MG/5ML 125ML SYRUP; PARACETAMOL 500mg 20 tab. B.P. 2010 (ADWIC); THERA-LO 3.2g/100ml oral 100ml susp.; CETAL 120mg 5 infantile supp.; TEMPRA 160 mg/5ml syp. 90 ML; FEVANO 200mg/5ml 125ml syrup; CETAL 100MG/ML oral drops 15 ML; PARAMOL 125mg 5 paediatric supp.; CETAL 250mg/5ml 60ml susp.; PARACETAMOL-ADCO 500mg 20 tab.; PYRAL 500mg 20 tab.; CETAL 500mg 20 tab.; ABIMOL 500 MG 20 TABLETS; GESICREST 10mg/ml vial for I.V. inf. 50 ML; RAZIPHEMOL 10mg/ml soln. for I.V. inf.; ADOL 500MG 24 CAPLETS; PARAMOL 120mg/5ml 125ml syrup; PARACETAMOL-PHARCO B 1% soln. for I.V. inf.; PANADOL 500 mg 24 TABLETS; PARAMOL 500mg 20 tab.; ROTAPYRETIC 10mg/ml vial for I.V. inf. 50 ML; VEDRAPHENAL 1% SOLN. FOR IV INF. 50 ML; EUPIFALGAN 10mg/ml vial for I.V. inf. 100 ML; PERFALGAN 1g/100ml (50ml) sol.for I.V.vial; TARGECETAL 10mg/ml vial for I.V. inf. 100 ML; NOVALDOL 1gm 15 tab.; GESICREST 10mg/ml vial for I.V. inf. 100 ML; MEDALGESIC 10mg/ml vial for I.V. inf. 100 ML; PYRITRUST 1% soln. I.V. inf. 100 ML; ROTAPYRETIC 10mg/ml vial for I.V. inf. 100 ML; VEDRAPHENAL 1% SOLN. FOR IV INF. 100 ML; PARACETAMOL-PHARCO B 1% soln. I.V. inf.; INJECTMOL 10mg/ml vial for I.V. inf. 100 ml; PARACETAGEN 10 mg/ml vial for I.V. inf.; PENTAMOL 10mg/ml soln. for I.V. inf.; PANADOL JOINT 18 ER TABLETS; PERFALGAN 1g/100ml (100ml) sol.for I.V.vial,"About Paracetamol; Acetanilide derivative, Non narcotic Analgesic,Antipyretic.; Mechanism of Action of Paracetamol; Paracetamol has analgesic and antipyretic action.; It is more active on cyclo-oxygenase enzyme in brain. Peripherally it is a poor inhibitor of prostaglandin synthesis.; Analgesic action: Paracetamol raises the pain threshold and produces analgesic effect.; Antipyretic action: Paracetamol lowers fever by direct action on the thermoregulatory centre in the Hypothalamus and block the effects of endogenous pyrogen.; Indications for Paracetamol; 1. To relieve pain and fever; 2. Acute gout; 3. Migraine; Interactions for Paracetamol; Cholestyramine: Reduces absorption of paracetamol.; Charcoal: Activated, administered immediately reduces absorption of paracetamol.; Domperidone and metochlopramide: Enhance absorption of paracetamol.; Alcohol: Chronic excessive ingestion of alcohol potentiates hepatotoxicity of paracetamol."
Otrivin,xylometazoline,BALKIS 0.05% INFANTILE nasal drops; BALKIS 0.1% ADULT nasal drops; RHINEX 0.05% INFANTILE nasal drops 10 ml; RHINEX 0.1% ADULT nasal drops 10 ml; OTRIVIN MENTHOL 0.1% nasal drops.; NASOSTOP 0.05% PAED nasal drops 15 ML; NASOSTOP 0.1% ADULT nasal drops 15 ML; OTRIVIN 0.05% pediatric nasal drops 15 ML; OTRIVIN 0.1% Adult nasal drops 15 ML; OTRIVIN 0.1% adult nasal spray 10 ML,"About Xylometazoline; Imidazoline derivative,Alpha-2 adrenergic agonist, Topical nasal decongestant.; Mechanism of Action of Xylometazoline; It is a nasal decongestant with selective alpha-2 agonistic action. It produces local vasoconstriction, reduces blood flow, and causes shrinkage of mucosa which provides relief of nasal congestion.; Indications for Xylometazoline; 1. Nasal congestion; Interactions for Xylometazoline; Tricyclic antidepressants: Xylometazoline may potentiate the pressor effects of tricyclic antidepressants."
Bronchicum,primula root fluid extract,BRONCHICUM ELIXIR S 100 ML,To improve function of bronchi
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it."
Maalox,aluminium hydroxide,LOBURNA oral susp. 180 ML; ACIDIPAN oral susp. 180 ML; ALUMATREND oral susp. 240 ML; MAALOX PLUS (Lemon flavoured) 180ml susp.; MAALOX PLUS (Lemon flavoured) 355ml susp.; MAALOX PLUS 200mg 40 chewable tab.,"Mechanism of Action; Aluminum hydroxide: Neutralizes stomach hydrocloride to form AlCl3 salt plus water- increases gastric pH; ; Magnesium hydroxide: Promotes bowel evacuation by causing osmotic retention of fluid, which causes the colon to distend with increased peristaltic activity- forms magnesium chloride when reacts with hydrochloric acid; ; Simethicone: Disperses and prevents gas pockets in the GI system by decreasing surface tension of gas bubles; ; Contraindications; Hypersensitivity to any component of the formulation; ; Cautions; Caution in renal failure"
Bronchicum,primula root fluid extract,BRONCHICUM ELIXIR S 100 ML,To improve function of bronchi
Bisolvon,bromhexine,SOLVIN 2 mg/ml oral drops 15 ML; BROMHEXINE 4mg/5ml 120ml syrup; MUCLEAR 4mg/5ml 120ml syrup; SOLVIN N 80mg/100ml 60ml syrup; SOLVIN 8mg 20tab.; BISOLVON 10mg/5ml ORAL OR INH. DROPS. 40 ML; BISOLVON 4mg/2ml 5 AMPOULES; BISOLVON 8mg 20 tab.; BISOLVON 4mg/5ml elixir 115 ML,About BromhexineSMucolytic (secretolytic)SSMechanism of Action of BromhexineSBromhexine hydrochloride acts as a mucokinetic and mucolytic agent. It decreases mucus viscosity by altering its structure. It depolymerises mucopolysaccharides directly as well as by liberating lysosomal enzymes and network of fibres in tenacious sputum is broken. It induces thin copious bronchial secretion.SSIndications for BromhexineS1. As Expectorant and mucolytic S2. Conditions associated with production of viscid mucous S3. Bronchitis S4. Pharyngitis S5. Laryngitis S6. Rhinitis S7. Sinusitis S8. Asthmatic bronchitis S9. Mucous bronchiectasis S10.Chronic Pneumonia.SSdoseSOral: 8mg thrice daily. SChildren (5 to 10 years): 4mg thrice daily SChildren (1 to 5 years): 4mg twice da
Bisolvon,bromhexine,SOLVIN 2 mg/ml oral drops 15 ML; BROMHEXINE 4mg/5ml 120ml syrup; MUCLEAR 4mg/5ml 120ml syrup; SOLVIN N 80mg/100ml 60ml syrup; SOLVIN 8mg 20tab.; BISOLVON 10mg/5ml ORAL OR INH. DROPS. 40 ML; BISOLVON 4mg/2ml 5 AMPOULES; BISOLVON 8mg 20 tab.; BISOLVON 4mg/5ml elixir 115 ML,About BromhexineSMucolytic (secretolytic)SSMechanism of Action of BromhexineSBromhexine hydrochloride acts as a mucokinetic and mucolytic agent. It decreases mucus viscosity by altering its structure. It depolymerises mucopolysaccharides directly as well as by liberating lysosomal enzymes and network of fibres in tenacious sputum is broken. It induces thin copious bronchial secretion.SSIndications for BromhexineS1. As Expectorant and mucolytic S2. Conditions associated with production of viscid mucous S3. Bronchitis S4. Pharyngitis S5. Laryngitis S6. Rhinitis S7. Sinusitis S8. Asthmatic bronchitis S9. Mucous bronchiectasis S10.Chronic Pneumonia.SSdoseSOral: 8mg thrice daily. SChildren (5 to 10 years): 4mg thrice daily SChildren (1 to 5 years): 4mg twice da
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it."
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it."
