Medicine Name,Active Ingredient,Alternatives,Pharmacology,Image_URL
Otrivin,xylometazoline,BALKIS 0.05% INFANTILE nasal drops; BALKIS 0.1% ADULT nasal drops; RHINEX 0.05% INFANTILE nasal drops 10 ml; RHINEX 0.1% ADULT nasal drops 10 ml; OTRIVIN MENTHOL 0.1% nasal drops.; NASOSTOP 0.05% PAED nasal drops 15 ML; NASOSTOP 0.1% ADULT nasal drops 15 ML; OTRIVIN 0.05% pediatric nasal drops 15 ML; OTRIVIN 0.1% Adult nasal drops 15 ML; OTRIVIN 0.1% adult nasal spray 10 ML,"About Xylometazoline; Imidazoline derivative,Alpha-2 adrenergic agonist, Topical nasal decongestant.; Mechanism of Action of Xylometazoline; It is a nasal decongestant with selective alpha-2 agonistic action. It produces local vasoconstriction, reduces blood flow, and causes shrinkage of mucosa which provides relief of nasal congestion.; Indications for Xylometazoline; 1. Nasal congestion; Interactions for Xylometazoline; Tricyclic antidepressants: Xylometazoline may potentiate the pressor effects of tricyclic antidepressants.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/otrivin-nasal-drops-adult-15-ml-01664879257.png
Bronchicum,primula root fluid extract,BRONCHICUM ELIXIR S 100 ML,To improve function of bronchi,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-anti-cough-100mg-20-lozenges-dg53-01646137337.png
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125814telfast-antihistamine-180jpeg
Maalox,aluminium hydroxide,LOBURNA oral susp. 180 ML; ACIDIPAN oral susp. 180 ML; ALUMATREND oral susp. 240 ML; MAALOX PLUS (Lemon flavoured) 180ml susp.; MAALOX PLUS (Lemon flavoured) 355ml susp.; MAALOX PLUS 200mg 40 chewable tab.,"Mechanism of Action; Aluminum hydroxide: Neutralizes stomach hydrocloride to form AlCl3 salt plus water- increases gastric pH; ; Magnesium hydroxide: Promotes bowel evacuation by causing osmotic retention of fluid, which causes the colon to distend with increased peristaltic activity- forms magnesium chloride when reacts with hydrochloric acid; ; Simethicone: Disperses and prevents gas pockets in the GI system by decreasing surface tension of gas bubles; ; Contraindications; Hypersensitivity to any component of the formulation; ; Cautions; Caution in renal failure",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631427273maalox-antacid-oral-suspensions-lemon-flavoring-20-sachets-5mljpg
Bronchicum,primula root fluid extract,BRONCHICUM ELIXIR S 100 ML,To improve function of bronchi,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125998bronchicum-anti-coughjpeg
Bisolvon,bromhexine,SOLVIN 2 mg/ml oral drops 15 ML; BROMHEXINE 4mg/5ml 120ml syrup; MUCLEAR 4mg/5ml 120ml syrup; SOLVIN N 80mg/100ml 60ml syrup; SOLVIN 8mg 20tab.; BISOLVON 10mg/5ml ORAL OR INH. DROPS. 40 ML; BISOLVON 4mg/2ml 5 AMPOULES; BISOLVON 8mg 20 tab.; BISOLVON 4mg/5ml elixir 115 ML,About BromhexineSMucolytic (secretolytic)SSMechanism of Action of BromhexineSBromhexine hydrochloride acts as a mucokinetic and mucolytic agent. It decreases mucus viscosity by altering its structure. It depolymerises mucopolysaccharides directly as well as by liberating lysosomal enzymes and network of fibres in tenacious sputum is broken. It induces thin copious bronchial secretion.SSIndications for BromhexineS1. As Expectorant and mucolytic S2. Conditions associated with production of viscid mucous S3. Bronchitis S4. Pharyngitis S5. Laryngitis S6. Rhinitis S7. Sinusitis S8. Asthmatic bronchitis S9. Mucous bronchiectasis S10.Chronic Pneumonia.SSdoseSOral: 8mg thrice daily. SChildren (5 to 10 years): 4mg thrice daily SChildren (1 to 5 years): 4mg twice da,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bisolvon-syrup-1640186019.png
Bisolvon,bromhexine,SOLVIN 2 mg/ml oral drops 15 ML; BROMHEXINE 4mg/5ml 120ml syrup; MUCLEAR 4mg/5ml 120ml syrup; SOLVIN N 80mg/100ml 60ml syrup; SOLVIN 8mg 20tab.; BISOLVON 10mg/5ml ORAL OR INH. DROPS. 40 ML; BISOLVON 4mg/2ml 5 AMPOULES; BISOLVON 8mg 20 tab.; BISOLVON 4mg/5ml elixir 115 ML,About BromhexineSMucolytic (secretolytic)SSMechanism of Action of BromhexineSBromhexine hydrochloride acts as a mucokinetic and mucolytic agent. It decreases mucus viscosity by altering its structure. It depolymerises mucopolysaccharides directly as well as by liberating lysosomal enzymes and network of fibres in tenacious sputum is broken. It induces thin copious bronchial secretion.SSIndications for BromhexineS1. As Expectorant and mucolytic S2. Conditions associated with production of viscid mucous S3. Bronchitis S4. Pharyngitis S5. Laryngitis S6. Rhinitis S7. Sinusitis S8. Asthmatic bronchitis S9. Mucous bronchiectasis S10.Chronic Pneumonia.SSdoseSOral: 8mg thrice daily. SChildren (5 to 10 years): 4mg thrice daily SChildren (1 to 5 years): 4mg twice da,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bisolvon-cough-sedative-8mg-10-tabs-5rbk-01646135709.png
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125589telfast-antihistamine-120jpeg
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634125441telfast-antihistamine-allergy-oral-suspension-raspberry-flavorjpeg
Telfast,fexofenadine,ORGOFEXADINE 120mg Film Coated 10 tab.s; ALLEREX 60 mg 10 F.C. TABS.; LINOFENADINE 180mg 10 scored F.C.tab.; FEXODINE 120MG 10 CAP.; ORGOFEXADINE 180mg 10f.c.tab.; ALERTAM 120mg 10 F.C.tab.; FEXON 120mg 10 F.C.tab.; FEXODINE 30MG/5ML 100 ML ORAL SUSP.; FEXON 30MG/5 ML ORAL SUSP. 100 ML; HISTAFREE 120mg 10 tab.; RAPIDO 120MG 10 CAPS.; ALERTAM 60mg 20 F.C.tab.; FEXOFENADINE-CID 120mg 20 F.C. TABS.; FEXOSTADINE 60 mg 20 TABS.; RAPIDO 180MG 10 CAPS.; SANZALERA 120mg 14 F.C. TAB.; FEXOLERG 180 mg 10 F.C.tabs.; ALLERGYNA 120mg 10 F.C. Tab.; FASTEL 120mg 10 F.C. Tab.; FEXON 180mg 10 F.C.tab.; FEXODINE 180MG 10 CAPS.; FASTEL 30mg/5ml oral 110ml susp.; FASTEL 180mg 10 F.C. tab.; ALERTAM 180mg 10 F.C.tab.; ALLERFEN 60mg 30 F.C.tab.; TELFAST 30MG/5ML SUSP. 100 ML; SANZALERA 180mg 14 F.C. TAB.; ALLERFEN 180mg 20 F.C. TABS.; FASTOFEN 60mg 30 tab.; FASTOFEN 120mg 30 tab.; FASTOFEN 180mg 30 tab.; TELFAST 120mg 20 F.C. tabs.; TELFAST 180mg 20 F.C. tabs.,"About Fexofenadine; Second Generation H1 Antagonist, Antihistamine.; ; Mechanism of Action of Fexofenadine; Fexofenadine blocks one type of peripheral receptor for histamine (the H1 receptor) and thus prevents activation of H1 receptor-containing cells by histamine (Histamine is released from histamine-storing cells (mast cells) and then attaches to other cells that have receptors for histamine. The attachment of the histamine to the receptors causes the cell to be ""activated,"" releasing other chemicals that produce the effects that we associate with allergy, e.g., sneezing.) and the allergic symptoms produced by it.",https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1634551557telfast-decongestant-10tabs-chefaajpeg
